Date,Output
14-07-2022,86250
15-07-2022,86000
16-07-2022,86500
18-07-2022,86750
19-07-2022,86500
20-07-2022,87000
21-07-2022,87000
22-07-2022,87000
23-07-2022,87000
25-07-2022,87500
26-07-2022,88000
27-07-2022,89000
28-07-2022,90500
29-07-2022,90750
01-08-2022,91750
02-08-2022,92250
03-08-2022,92750
04-08-2022,93250
05-08-2022,93750
06-08-2022,93750
08-08-2022,94500
09-08-2022,95000
10-08-2022,95500
12-08-2022,96000
13-08-2022,97000
16-08-2022,98250
17-08-2022,98750
18-08-2022,98750
20-08-2022,98750
22-08-2022,99500
23-08-2022,99500
24-08-2022,99000
25-08-2022,98250
26-08-2022,98500
27-08-2022,97750
29-08-2022,97000
30-08-2022,96000
01-09-2022,95000
02-09-2022,93500
03-09-2022,92500
05-09-2022,90000
06-09-2022,89750
07-09-2022,88500
08-09-2022,88000
09-09-2022,87500
10-09-2022,86500
